Altium Designer Pick and Place Locations
D:\Minh\Project_Personal\ESP32-C3-RF\PCB_Project\Project Outputs for ESP32-C3-RF-V1.0\Pick Place\Pick Place for PCB-ESP32-C3-RF-V1.0(Variant of ESP32-C3-RF-V1.0).csv

========================================================================================================================
File Design Information:

Date:       08/05/26
Time:       14:09
Revision:   d44290f21cdde16274a34720f65e526d7e8e3800
Variant:    Variant of ESP32-C3-RF-V1.0
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","330.000","1232.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R17","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","265.000","1232.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R16","RES SMD 27 OHM 1% 1/16W 0402","TopLayer","R0402","922.008","1270.000","180","62.5mW Thin Film Resistor ±50ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R15","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","850.000","862.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R14","RES SMD 27 OHM 1% 1/16W 0402","TopLayer","R0402","922.008","1325.000","180","62.5mW Thin Film Resistor ±50ppm/? ±1% 27O 0402 Chip Resistor - Surface Mount ROHS"
"R13","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","905.000","862.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"R12","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","175.000","222.992","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R11","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","635.000","647.992","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R10","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","635.000","527.992","270","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R9","RES SMD 10K OHM 1% 1/16W 0402","TopLayer","R0402","937.008","725.000","180","Chip Resistor with Ni/Au Terminations Thick Film 0402 10kOhm 1% Paper T/R"
"R8","RES SMD 4.7K OHM 1% 1/16W 0402","TopLayer","R0402","937.008","670.000","0","Chip Resistor with Ni/Au Terminations Thick Film 0402 4.7kOhm 1% Paper T/R"
"R6","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","459.000","354.992","90","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R5","RES 5.1kO ±1% 62.5mW 0402","TopLayer","R0402","711.992","308.000","0","62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1kO 0402 Chip Resistor - Surface Mount ROHS"
"R1","RES 0 OHM JUMPER 1/16W 0402","TopLayer","R0402","890.000","472.992","270","GENERAL PURPOSE CHIP RESISTOR Metal Glaze/thick Film, 0.0625W, 0ohm, Surface Mount, 0402"
"Q2","TRANS NPN 25V 1.5A SOT-23-3","TopLayer","TRANS_SS8050-G","545.000","540.000","0","TRANS NPN 25V 1.5A SOT23-3 / Bipolar (BJT) Transistor NPN 25 V 1.5 A 100MHz 300 mW Surface Mount SOT-23-3"
"Q1","TRANS NPN 25V 1.5A SOT-23-3","TopLayer","TRANS_SS8050-G","515.236","722.402","180","TRANS NPN 25V 1.5A SOT23-3 / Bipolar (BJT) Transistor NPN 25 V 1.5 A 100MHz 300 mW Surface Mount SOT-23-3"
"L3","FIXED IND 27NH 200MA 900 MOHM","TopLayer","IND_L-0402_JOT-L","860.000","1075.000","180","General Purpose Inductor, 0.027uH, 5%, 1 Element, Ceramic-Core, SMD, 0402"
"L2","FIXED IND 2.2NH 2.53A 22 MOHM","TopLayer","INDC1006X60N","605.000","1350.000","270","General Purpose Inductor, 0.0022uH, 2%, 1 Element, Wirewound-Core, Reflow soldering, 1005/0402"
"L1","FIXED IND 2.2NH 2.53A 22 MOHM","TopLayer","INDC1006X60N","705.000","1375.000","90","General Purpose Inductor, 0.0022uH, 2%, 1 Element, Wirewound-Core, Reflow soldering, 1005/0402"
"J1","CONN RCP USB2.0 TYP C 24P SMD RA","TopLayer","MOLEX_2171790001","580.000","154.783","0","USB Connector, USB Type C, USB 2.0, Receptacle, 16 Ways, Surface Mount, Through Hole Mount"
"IC3","IC FLASH 32MBIT SPI/QUAD 8SOIC","TopLayer","SOIC-8_5P28X5P28_WIN-L","285.000","970.000","270","NOR Flash Serial (SPI, Dual SPI, Quad SPI) 3V/3.3V 32M-bit 4M x 8 6ns 8-Pin SOIC T/R"
"IC2","IC REG LIN 3.3V 1.5A SOT-223-4","TopLayer","DCY4_TEX-L","305.000","500.000","180","1.5-A, 20-V, low-dropout voltage regulator with reverse current & reverse voltage protection"
"IC1","IC USB SERIAL FULL UART 20QFN","TopLayer","QFN50P400X400X80-21N","790.000","635.000","0","Tape & Reel (TR) 2006 UART USB 2.0 interface controller 3.3V~5V 4mm 8mA 12Mbps"
"H2","CONN HEADER VERT 10POS 2.54MM","TopLayer","HEADER_1*10_2.54MM","1085.000","845.000","90","Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry Thru-Hole Bag"
"H1","CONN HEADER VERT 10POS 2.54MM","TopLayer","HEADER_1*10_2.54MM","85.000","845.000","90","Conn Unshrouded Header HDR 10 POS 2.54mm Solder ST Top Entry Thru-Hole Bag"
"D6","LED BLUE CLEAR CHIP SMD","TopLayer","LED_0805_BLUE","920.000","325.000","90","LED blue LED0805 wavelength 465~475nm light intensity 28~180mcd vertical sticker"
"D5","LTST-C171KRKT","TopLayer","LED_LTST-C171_LTO-L","290.000","215.000","180","LED red 0805 wavelength 631nm light intensity 54mcd Front Mounting"
"D4","TVS DIODE 5.3VWM 12VC SOD882","TopLayer","RTVS_SOD882_LTF-L","578.000","325.500","90","Bi 30Kv 5V 0.35Pf Automotve Tvs Sod882/ T&r Rohs Compliant: Yes"
"D3","TVS DIODE 5.3VWM 12VC SOD882","TopLayer","RTVS_SOD882_LTF-L","636.000","325.500","90","Bi 30Kv 5V 0.35Pf Automotve Tvs Sod882/ T&r Rohs Compliant: Yes"
"D2","TVS DIODE 5.3VWM 12VC SOD882","TopLayer","RTVS_SOD882_LTF-L","552.500","443.000","0","Bi 30Kv 5V 0.35Pf Automotve Tvs Sod882/ T&r Rohs Compliant: Yes"
"D1","BAT20JFILM","TopLayer","SOD-323","521.000","358.000","270","BAT20J Series 23 V 1 A Surface Mount Switching Schottky Diode - SOD-323"
"C24","CAP CER 1UF 10V X5R 0402","TopLayer","C0402","981.534","180.000","180","Multilayer Ceramic Capacitors MLCC – SMD/SMT; YAGEO; CC0402KRX5R6BB105; 1 µF; 0402; 10 V; 10 V"
"C23","CAP CER 1UF 10V X5R 0402","TopLayer","C0402","623.308","880.000","180","Multilayer Ceramic Capacitors MLCC – SMD/SMT; YAGEO; CC0402KRX5R6BB105; 1 µF; 0402; 10 V; 10 V"
"C22","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","528.308","880.000","0","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C21","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","450.000","1111.534","270","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C20","CAP CER 10PF 50V C0G/NPO 0402","TopLayer","C0402","866.534","935.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 1% +Tol, 1% -Tol, C0G, 30ppm/Cel TC, 0.00001uF, Surface Mount, 0402"
"C18","CAP CER 10000PF 16V X7R 0402","TopLayer","C0402","895.000","1153.466","270","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.01uF X7R 0402 10%"
"C17","CAP CER 1UF 10V X5R 0402","TopLayer","C0402","840.000","1153.466","90","Multilayer Ceramic Capacitors MLCC – SMD/SMT; YAGEO; CC0402KRX5R6BB105; 1 µF; 0402; 10 V; 10 V"
"C16","CAP CER 10PF 50V C0G/NPO 0402","TopLayer","C0402","946.534","1075.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 1% +Tol, 1% -Tol, C0G, 30ppm/Cel TC, 0.00001uF, Surface Mount, 0402"
"C15","GRM1555C2A3R3CA01D","TopLayer","C0402","588.466","1415.000","0","Cap Ceramic 3.3pF 100V C0G 0.25pF Pad SMD 0402 125C T/R"
"C14","GRM1555C2A3R3CA01D","TopLayer","C0402","588.466","1285.000","0","Cap Ceramic 3.3pF 100V C0G 0.25pF Pad SMD 0402 125C T/R"
"C13","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","770.285","1376.601","90","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C11","CAP CER 1UF 10V X5R 0402","TopLayer","C0402","721.534","1300.000","180","Multilayer Ceramic Capacitors MLCC – SMD/SMT; YAGEO; CC0402KRX5R6BB105; 1 µF; 0402; 10 V; 10 V"
"C10","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","218.466","740.000","0","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C9","CAP CER 47PF 50V C0G/NPO 0402","TopLayer","C0402","218.466","685.000","0","50V 47pF NP0 ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C8","CAP CER 47PF 50V C0G/NPO 0402","TopLayer","C0402","390.000","711.534","270","50V 47pF NP0 ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C7","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","320.000","711.534","270","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C6","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","731.534","760.000","0","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C5","CAP CER 47PF 50V C0G/NPO 0402","TopLayer","C0402","756.466","410.000","0","50V 47pF NP0 ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C4","CAP CER 47PF 50V C0G/NPO 0402","TopLayer","C0402","841.534","410.000","180","50V 47pF NP0 ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C3","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","931.534","610.000","180","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C2","CAP CER 47PF 50V C0G/NPO 0402","TopLayer","C0402","931.534","560.000","180","50V 47pF NP0 ±1% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C1","CAP CER 100nF 50V X5R 0402","TopLayer","C0402","646.000","420.466","90","50V 100nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"BTN2","SWITCH TACTILE SPST-NO 0.05A 12V","TopLayer","SW_B3U-1000P","225.000","85.000","180","Switch Tactile N.O. SPST Round Button Solder Tab 12VDC 200000Cycles 1.5N SMD Emboss T/R"
"BTN1","SWITCH TACTILE SPST-NO 0.05A 12V","TopLayer","SW_B3U-1000P","928.071","85.000","0","Switch Tactile N.O. SPST Round Button Solder Tab 12VDC 200000Cycles 1.5N SMD Emboss T/R"
